Algorithm,Data Type,Size,Time (ms)
Heap Sort,random,5000,7.6111
Heap Sort,random,10000,18.0416
Heap Sort,random,15000,26.9009
Heap Sort,random,20000,36.1958
Heap Sort,sorted,100,0.0699
Heap Sort,sorted,1000,1.1874
Heap Sort,sorted,2000,2.7627
Heap Sort,sorted,3000,4.5258
Heap Sort,sorted,4000,6.2073
Heap Sort,sorted,5000,7.7068
Heap Sort,sorted,10000,18.0603
Heap Sort,sorted,15000,26.8090
Heap Sort,sorted,20000,36.1078
Heap Sort,reverse,100,0.0561
Heap Sort,reverse,1000,1.0324
Heap Sort,reverse,2000,2.4309
Heap Sort,reverse,3000,3.9053
Heap Sort,reverse,4000,5.5076
Heap Sort,reverse,5000,6.7872
Heap Sort,reverse,10000,15.8823
Heap Sort,reverse,15000,23.9381
Heap Sort,reverse,20000,32.9521
Counting Sort,random,100,0.3794
Counting Sort,random,1000,0.6640
Counting Sort,random,2000,0.8286
Counting Sort,random,3000,0.9778
Counting Sort,random,4000,1.1465
Counting Sort,random,5000,1.2466
Counting Sort,random,10000,2.1492
Counting Sort,random,15000,2.9618
Counting Sort,random,20000,3.3792
Counting Sort,sorted,100,0.0113
Counting Sort,sorted,1000,0.1637
Counting Sort,sorted,2000,0.3536
Counting Sort,sorted,3000,0.5306
Counting Sort,sorted,4000,0.7438
Counting Sort,sorted,5000,0.8698
Counting Sort,sorted,10000,1.8947
Counting Sort,sorted,15000,2.9074
Counting Sort,sorted,20000,3.6008
Counting Sort,reverse,100,0.0109
Counting Sort,reverse,1000,0.1682
Counting Sort,reverse,2000,0.3594
Counting Sort,reverse,3000,0.5285
Counting Sort,reverse,4000,0.7509
Counting Sort,reverse,5000,0.9202
Counting Sort,reverse,10000,1.9191
Counting Sort,reverse,15000,2.6989
Counting Sort,reverse,20000,3.5455
Radix Sort,random,100,0.0511
Radix Sort,random,1000,0.6047
Radix Sort,random,2000,1.2497
Radix Sort,random,3000,2.3222
Radix Sort,random,4000,2.6282
Radix Sort,random,5000,3.2676
Radix Sort,random,10000,8.1569
Radix Sort,random,15000,12.0357
Radix Sort,random,20000,15.7588
Radix Sort,sorted,100,0.0235
Radix Sort,sorted,1000,0.4473
Radix Sort,sorted,2000,1.2078
Radix Sort,sorted,3000,1.8287
Radix Sort,sorted,4000,2.5617
Radix Sort,sorted,5000,3.2642
Radix Sort,sorted,10000,6.3982
Radix Sort,sorted,15000,11.5178
Radix Sort,sorted,20000,15.2609
Radix Sort,reverse,100,0.0334
Radix Sort,reverse,1000,0.5784
Radix Sort,reverse,2000,1.2011
Radix Sort,reverse,3000,1.8766
Radix Sort,reverse,4000,2.5350
Radix Sort,reverse,5000,3.2347
Radix Sort,reverse,10000,7.7955
Radix Sort,reverse,15000,11.5277
Radix Sort,reverse,20000,15.1310
Bucket Sort,random,100,0.0323
Bucket Sort,random,1000,0.3537
Bucket Sort,random,2000,0.6079
Bucket Sort,random,3000,0.9663
Bucket Sort,random,4000,1.2619
Bucket Sort,random,5000,1.4759
Bucket Sort,random,10000,3.1859
Bucket Sort,random,15000,11.6989
Bucket Sort,random,20000,6.5648
Bucket Sort,sorted,100,0.0218
Bucket Sort,sorted,1000,0.2382
Bucket Sort,sorted,2000,0.4868
Bucket Sort,sorted,3000,0.7442
Bucket Sort,sorted,4000,1.0444
Bucket Sort,sorted,5000,1.2575
Bucket Sort,sorted,10000,2.6625
Bucket Sort,sorted,15000,3.7175
Bucket Sort,sorted,20000,5.2290
Bucket Sort,reverse,100,0.0223
Bucket Sort,reverse,1000,0.2491
Bucket Sort,reverse,2000,0.5069
Bucket Sort,reverse,3000,1.3226
Bucket Sort,reverse,4000,1.0862
Bucket Sort,reverse,5000,1.3063
Bucket Sort,reverse,10000,2.7402
Bucket Sort,reverse,15000,4.0998
Bucket Sort,reverse,20000,10.9009
